Name,Street,City,State,Zipcode,Category,Total Quantity to Deliver,Driver,Notes,Contact Name,Contact Phone,Has Rack,Restock,Advertiser,Latitude,Longitude,Delivered to Date,Returns,"County
",Area,Drop next time,One-off (featured in issue) ,Initial To Deliver,INITIAL DELivery,Restock 1,Restock 2,Restock 3,Restock 4
Watsonville Airport,100 Aviation Way,Watsonville,CA,95076,airport,33,Bill,restaurant & pilot's center,,,,,,36.933978,-121.787818,,,Santa Cruz ,Watsonville,,,,,,,,
Heather's Pastisserie,"Aptos Center Shopping Center, 7486 Soquel Dr",Aptos,CA,95003,bakery,50,Bill,,,,,,,36.981997,-121.910891,30,,,,,,,30,,,,
SC County Bank,7775 Soquel Dr. Aptos,Aptos,CA,95003,bank,15,Bill,,,,,y,Y,36.979145,-121.907349,25,,Santa Cruz,Aptos,,,50,25,,,,
SC County Bank,595 Auto Center Dr.,Watsonville ,CA,95076,bank,25,Bill,,,,,n,Y,36.91639,-121.767159,25,,Santa Cruz,Watsonville ,,,50,25,,,,
Discretion Brewing,2703 41st Ave, Soquel,CA,95073,beer,50,Bill,,,,,,,36.986324,-121.965768,0,,Santa Cruz,Soquel,,,,,,,,
Aldos ,4628 Soquel Dr., Soquel,CA,95073,dining,25,Bill,,John,,,,,36.964117,-122.003061,25,,Santa Cruz,Soquel,,,25,25,,,,
California Grill,1970 Freedom Blvd. ste. A Freedom,Watsonville ,CA,95076,dining,50,Bill,,Lindsey,,,n,,36.937767,-121.77674,100,,Santa Cruz,Watsonville ,,,100,100,,,,
Palapas Restaurant & Cantina,21 Seascape Blvd,Aptos,CA,95003,dining,25,Bill,,,,,,,36.952019,-121.8771,25,,,,,,,25,,,,
Farm Bureau,141 Monte Vista Ave.,Watsonville ,CA,95076,farm,25,Bill,,Jess 724-1356,,,n,,36.923935,-121.757744,25,,Santa Cruz,Watsonville ,,,25,25,,,,
Gizdich Ranch,55 Peckham Rd, Watsonville,CA,95076,farm,500,Bill,5 boxes to start,Vince,,,n,Y,36.947544,-121.71283,500,,Santa Cruz,Watsonville ,,,500,500,,,,
Live Earth Farm,172 Litchfield Ln, Watsonville,CA,95076,farm,200,Bill,,,,,n,Y,36.981491,-121.784256,250,,Santa Cruz,Watsonville ,,,250,250,,,,
WAT Farmer's Market,Peck St & Main St, Watsonville,CA,95076,farmers market,25,Bill,,,,,n,,36.90962,-121.75621,0,,Santa Cruz,Watsonville ,,,,,,,,
"Dos Aquilas Olive Oil
",1855 Pleasant Vally Road, Aptos,CA,95003,food,15,Bill,,,,,,Y,36.997525,-121.835744,0,,Santa Cruz,Aptos,,,,,,,,
High Ground Organics,521 Harkins Slough Rd,Watsonville ,CA,95076,food,25,Bill,,Sarah/ Jean,,,n,,36.90934,-121.801239,0,,Santa Cruz,Watsonville ,,,50,,,,,
Aptos Landscape Supply,5035 Freedom Blvd, Aptos,CA,95003,garden,50,Bill,,,,y,n,,36.987675,-121.836831,64,25,Santa Cruz,Aptos,,,100,64,,,,
Hidden Gardens Nursery,7765 Soquel Dr., Aptos,CA,95003,garden,25,Bill,,688-7011,,,y,,36.979656,-121.907402,50,,Santa Cruz,Aptos,,,50,50,,,,
Best Western Seacliff Inn,7500 Old Dominion Ct, Aptos,CA,95003,lodging,50,Bill,,,,,,Y,36.978994,-121.910656,20,,,Aptos ,,,,20,,,,
Seascape Resort/Sanderlings,1 Seascape Resort Dr. Aptos,Aptos,CA,95003,lodging,250,Bill,5 boxes to start,Annie/ Kelly 688-6800,,,y,,36.950558,-121.877113,300,,Santa Cruz,Aptos,,,300,300,,,,
Corralitos Market,19 W Lake Ave, Watsonville,CA,95076,market,25,Bill,,Ken 722-2633,,,n,,36.911085,-121.758988,25,,Santa Cruz,Watsonville ,,,25,25,,,,
Deluxe Foods of Aptos,783 Rio Del Mar Blvd #25,Aptos,CA,95003,market,50,Bill,,,,,,,36.974212,-121.889531,50,,,,,,,50,,,,
Fish Lady,2510 S. Main St.,Soquel,CA,95073,market,25,Bill,,Sharon,,,n,,36.984125,-121.956761,50,,Santa Cruz,Soquel,,,50,50,,,,
Seascape Market and Juice,16 Seascape Village, Aptos,CA,95003,market,50,Bill,,,,,n,,36.952531,-121.87717,75,,Santa Cruz,Aptos,,,75,75,,,,
California Coastal Homes,"2567 Main St, Ste 101",Soquel,CA,95073,reality,10,Bill,,,,,,Y,36.98477,-121.955691,0,,Santa Cruz,Soquel,,,,,,,,
Annie Glass,310 Harvest Drive,Watsonville ,CA,95076,retail,75,Bill,,,,,y,Y,36.902447,-121.762611,50,,Santa Cruz,Watsonville ,,,75,50,,,,
Alfaro Winery,420 Hames Rd,Watsonville ,CA,95076,wine,100,Bill,OPEN Sat./ Sun.,Mary Kay 728-5172,,,y,,36.992418,-121.819392,50,,Santa Cruz,Watsonville ,,,150,50,,,,
Armtage WInes Tasting Room,105c Post Office Dr., Aptos,CA,95003,wine,50,Bill,,Brandon Armitage,"706-6601 cell, 708-2874",y,n,,36.976597,-121.899961,0,,Santa Cruz,Aptos,,,,,,,,
Bargetto Winery,3535 N Main St, Soquel,CA,95073,wine,50,Bill,,,,,y,,36.995194,-121.954575,50,,Santa Cruz,Soquel,,,50,50,,,,
Nicholson Vineyards,2800 Pleasant Valley,Watsonville ,CA,95076,wine,50,Bill,,Marguerite & Brian 724-7071,,,n,,37.005425,-121.840057,0,,Santa Cruz,Watsonville ,,,50,,,,,
Pleasant Valley Vineyards,600 Pleasant Valley,Watsonville ,CA,95076,wine,25,Bill,,Craig & Cathy 288-0074,,,n,,36.982952,-121.827667,0,,Santa Cruz,Watsonville ,,,15,,,,,
Windy Oaks,550 Hazel Dell,Watsonville ,CA,95076,wine,50,Bill,,Jim & Judy h724-9562,,,y,Y,37.019807,-121.761094,50,,Santa Cruz,Watsonville ,,,50,50,,,,
Carried Away,7564 Soquel Dr, Aptos,CA,95003,xxx,100,Bill,,Tran/Tom,,,n,Y,36.98167,-121.910027,50,,Santa Cruz,Aptos,,,50,50,,,,
Casalegno's,3 Laurel Glen Rd, Soquel,CA,95073,xxx,30,Bill,,,,y,n,,37.032525,-121.946981,30,,Santa Cruz,Soquel,,,30,30,,,,
Let's Cook!,3121 N. Main ,Soquel,CA,95073,xxx,50,Bill,,Patricia,,,y,,36.989914,-121.955223,0,,Santa Cruz,Soquel,,,50,,,,,
Pezzini,460 Nashua Road (Just off HWY 1), Castroville,CA,95012,xxx,150,Bill,,Sean,,,y,,36.7459984,-121.7715912,192,,"Monterey
",Castroville,,,141,192,,,,
Sante Adairius,103 Kennedy Dr, Capitola,CA,95010,xxx,25,Bill,,,,,y,,36.982319,-121.94307,25,,Santa Cruz,Aptos,,,50,25,,,,
Thrive,2840 Park Ave. Aptos,Aptos,CA,95003,xxx,50,Bill,,Juli,,,n,Y,36.986244,-121.936203,25,,Santa Cruz,Aptos,,,50,25,,,,
Tree House Treats,"Tree of Health, Redwood Village, 9099 Soquel Drive",Aptos,CA,95003,xxx,15,Bill,,,,,,Y,36.975772,-121.886723,0,,Santa Cruz,Aptos,,,,,,,,
Hollister Municipal Airport,90 Airport Dr,Hollister,CA,95023,airport,33,Chris,restaurant & pilot's center,,,,,,36.889408,-121.402702,,,San Benito ,Hollister,,,,,,,,
Pie Ranch,2080 Cabrillo Hwy, Pescadero,CA,94060,bakery,150,Chris,,Nancy/ Kelly,,,n,,37.130089,-122.312072,150,,Santa Cruz,"Davenport
",,,141,150,,,,
The Grove Bakery,7511 Pacheco Pass Hwy.,Hollister,CA,95023,bakery,25,Chris,Closed Mon-Wedn,,,,n,,36.9591179,-121.3831406,25,,San Benito,San Benito,,,,25,,,,
Whale City Bakery,490 Coast Rd, Davenport,CA,95017,bakery,100,Chris,,Lizzie,,,n,Y,37.011353,-122.194931,50,,Santa Cruz,Davenport,,,47,50,,,,
Venus Spirits,427 A Swift St.,Santa Cruz,CA,95060,bar,50,Chris,,Sean,,,n,,36.955966,-122.048585,64,,Santa Cruz,Westside,,,47,64,,,,
Grillin and Chillin Alehouse,401 McCray St. B24, Hollister,CA,95023,beer,25,Chris,,,,,n,,36.8516769,-121.3976746,25,,San Benito,San Benito,,,,25,,,,
Vertigo Coffee,81 4th St, San Juan Bautista,CA,95045,coffee,50,Chris,,,,,n,,36.841928,-121.535168,50,,San Benito,San Benito,,,,50,,,,
3rd Base Burger Bar,"650 San Benito St., Ste. 110",Hollister,CA,95023,dining,50,Chris,,,,,n,,36.849678,-121.4024429,50,,San Benito,San Benito,,,,50,,,,
Davenport Roadhouse,1 Davenport Ave, Davenport,CA,95017,dining,50,Chris,,,,,n,,37.010803,-122.19384,50,,Santa Cruz,Davenport,,,47,50,,,,
Relax! Grillin & Chilllin,3650 San Juan Road, Hollister,CA,95023,dining,50,Chris,,,,,n,,36.844419,-121.456429,50,,San Benito,San Benito,,,,50,,,,
Fish Princess Farms,817 Swift St.,Santa Cruz,CA,95060,farm,50,Chris,leave at WS Farm & Feed,Jeanie 402-0635,,,n,,36.959617,-122.049257,50,,Santa Cruz,Westside,,,50,50,,,,
Swanton Berry Farm,25 Swanton Rd, Davenport,CA,95017,farm,50,Chris,,,,,n,,37.031557,-122.2182,50,,Santa Cruz,Davenport,,,47,50,,,,
Morris Grassfed,500 Mission Vineyard Road,San Juan Batista,CA,95045,food,50,Chris,Leave at garage of house,,,,n,Y,36.8267517,-121.506546,50,,San Benito,San Benito,,,,50,,,,
San Benito Bene,615 San Benito St, Hollister,CA,95023,food,100,Chris,,,,,n,,36.8500443,-121.4018173,100,,San Benito,San Benito,,,,100,,,,
The Garden Co.,2218 Mission Str.,Santa Cruz,CA,95060,garden,50,Chris,,Marie (owner),,,n,,36.962307,-122.045692,50,,Santa Cruz,Westside,,,,50,,,,
Casa de Fruta,10021 Pacheco Pass,Hollister,CA,95023,market,100,Chris,discuss this with staff,Suzanne,,,,,36.988067,-121.382869,100,,"San Benito
",San Benito,,,,100,,,,
Hollister Downtown Assoc,514 Monterey, Hollister,CA,95023,other,25,Chris,,,,,n,,36.851217,-121.403986,25,,San Benito,San Benito,,,,25,,,,
