Name,Street,City,State,Zipcode,Category,Adver tiser,Total Quantity to Deliver,Notes,Driver,crate,Restock,Latitude,Longitude,Contact Name,Contact Phone,first delivery,Restock Quantity (6 x),Delivered to Date,Number of Deliveries,Hrs per Deliv,Stop #,Color,Advertiser Color
??? Indigo Prop.,,,,,Other,,0,,Waves,,,36.75,-121.93,,,,,,,,,,
ABS Advanced Body Solutions,15690 Los Gatos Blvd,Los Gatos,CA,95302,Recreation,,60,,,,y,37.240547,-121.959132,,,,,,,,,,
Akira Sushi,1222 Soquel Ave,Santa Cruz,,,dining,D,160,,Nelson ,,y,36.979856,-122.009729,Greyson / Dustin,,,,,,,11,silver,silver
Aloha Island Grill,1700 Portola Dr,Santa Cruz,CA,,dining,Y,150,,Nelson ,F,y,36.96275,-121.987972,Numa,,,,,,,7,blue,blue
Aptos Barbeque,8059 Aptos Street,Aptos,CA,95003,Food,Y,30,,Bill,W,n,36.976784,-121.899657,Larry,,,,,,,,,
Aptos Chamber and Visitor's Center,7605 Old Dominion Ct,Aptos,CA,95003,Chamber,,30,President Karen,Bill,,n,36.979426,-121.911781,Karen,,,,,,,,silver,silver
Assoc. of Realtors SC,2525 S Main St,Soquel,CA,95073,Real Estate,,30,,Bill,,n,36.989243,-121.927704,Andrea,,,,,,,,silver,silver
Bay Club Courtside,14675 Winchester Blvd,Los Gatos,CA,95030,Recreation,,60,,,,y,37.25578,-121.966722,,,,,,,,,,
Bay Federal,3333 Clares St,Capitola,CA,,bank,Y,60,,Nelson ,,y,36.976376,-121.969822,Tina Musgrave,,,,,,,2,blue,blue
Bay Federal,420 River St,Santa Cruz,CA,,bank,Y,90,,Mick,,n,36.981832,-122.029225,Tina Musgrave,,30,,,,,,blue,blue
Bay Federal,255 Mt Hermon Rd,Scotts Valley,CA,95066,bank,Y,90,,Mick,,n,37.047085,-122.031499,Tina Musgrave,,,,,,,,blue,blue
Bay Photo,715 Soquel Ave,Santa Cruz,CA,95060,Other,,15,,Mick,,n,36.977254,-122.01568,Christie,,,,,,,,silver,silver
Beach Inn & Suites,125 Beach St,Santa Cruz,CA,,lodging,,30,,Mick,,n,36.962757,-122.023522,,,30,,,,,,silver,silver
Beer Thirty,2400 Porter St,Soquel,CA,,Beer,,90,,Bill,W,y,36.983644,-121.956627,Olive,,,,,,,,silver,silver
Best Western Capitola by the Sea,1435 41st Ave,Capitola,CA,,lodging,,30,,Mick,W,n,36.971169,-121.964967,,,30,,,,,,silver,silver
Best Western/Seacliff Inn,7500 Old Dominion Ct,Aptos,CA,95003,lodging,,30,,Bill,,n,36.979421,-121.911892,Jason ,,,,,,0.5,,silver,silver
Bittersweet Bistro Cafe,787 Rio Del Mar Boulevard,Aptos,CA,95003,dining,,30,,Bill,,n,36.974867,-121.888187,,,,,,,,,,
Blown Out Wetsuit Repair,3055 Portola Dr,Santa Cruz,CA,95062,sports,,90,,,W,,36.963521,-121.973084,,,30,,,,,,,
Blue Line Pizza,160 W Main St,Los Gatos,CA,95030,pizza,,60,,,,y,37.222343,-121.983327,,,,,,,,,,
Bocci Ball,565 University Ave,Los Gatos,CA,95030,Recreation,,60,,,,y,37.232059,-121.977814,,,,,,,,,,
Bohemian Brewery,,Capitola,CA,,Beer,,60,,Mick,,y,36.673,-121.892,,,30,,,,,,,
Bookshop Santa Cruz,1520 Pacific Ave,Santa Cruz,CA,,Other,,60,,Nelson ,,y,36.97559,-122.026529,,,,,,,,20,silver,silver
Britania Arms,110 Monterey Ave,Capitola,,,dining,,30,,Mick,,n,36.972193,-121.950464,,,,,,,,,,
Burger,1520 Mission St,Santa Cruz,,,dining,D,30,,Mick,,y,36.966814,-122.04031,Michelle King,,30,,,,,,silver,silver
Burger,7941 Soquel Dr,Aptos,CA,95003,dining,Y,30,,Bill,,n,36.977862,-121.906332,Michelle King,,,,,,,,blue,blue
Cabrillo College Cafeteria,6500 Soquel,Aptos,CA,95003,dining,Y,30,,Bill,,n,36.989328,-121.925588,,,,,,,,,blue,blue
Cabrillo College Courtyard,6500 Soquel Dr,Aptos,CA,95003,Other,Y,30,,Bill,,n,36.988706,-121.925384,Kristin Fabos,,,,,,,,blue,blue
Cafe Cruz,2621 41st Ave,Capitola,CA,95073,dining,D,60,,Mick,,n,36.984907,-121.965099,Nikki Howe,476-3801,30,,,,,,silver,silver
Cafe Mare,740 Front St #100,Santa Cruz,CA,95060,dining,Y,30,owners JP and Andrea(male),Mick,,n,36.975354,-122.025177,Andrea (male) and JP,,,,,,,,blue,blue
Cali Style,222 Mt Hermon Rd,Scotts Valley,CA,,Retail,,15,"not open will return , owner Flynn Post",Mick,,n,37.047236,-122.026914,Flynn,,,,,,,,silver,silver
California Grill,1970 Freedom Blvd,Watsonville,CA,,dining,,30,,Bill,,n,36.937898,-121.776459,,,,,,,,,silver,silver
Campbell Chamber of Commerce,267 East Campbell Avenue Suite C,Campbell,CA,,Chamber,,60,,,,,37.287237,-121.945122,,,,,,,,,,
Campbell Inn,675 E Campbell Ave,Campbell,CA,,lodging,,90,,,,,37.287827,-121.937384,,,,,,,,,,
Canton Chinese Restaurant,900 41st Ave,Santa Cruz,CA,95060,dining,Y,30,,Mick,,n,36.96491,-121.964832,Miranda,,30,,,,,,blue,blue
Capitola Chamber of Commerce,716 Capitola Avenue,Capitola,CA,,Chamber,,30,,Bill,,n,36.979989,-121.952694,,,,,,,,,,
Carpos,2400 Porter St,Soquel,CA,,dining,,120,,Bill,W,y,36.983794,-121.956843,,,,,,,,,silver,silver
Casa Blanca Inn,101 Main St,Santa Cruz,CA,,lodging,,30,,Mick,,n,36.96335,-122.022073,,,20,,,,,,silver,silver
CB Hannegan's Food & Libation,208 Bachman Ave,Los Gatos,CA,95030,Restaurant/Bar,D,60,,Kelly,,y,37.227516,-121.982231,,,,,,,,,,
Chaminade,1 Chaminade Ln,Santa Cruz,,,lodging,Y,300,,Mick,,n,36.998918,-121.984638,Jeff Livingston,465-3405,300,,,,0.5,,blue,blue
Charlie Hong Kongs,1141 Soquel Avenue,Santa Cruz,CA,,dining,D,180,,Nelson ,W,y,36.979794,-122.010833,Carolyn,,,,,,,13,,
